"B01AFXMGXU","Pete the Cat and the Missing Cupcakes","Dean, James:Dean, Kimberly:https://m.media-amazon.com/images/I/51UaTRIcp8L._SY300_.jpg"
"B06Y5N69YD","Pete the Cat and the Cool Caterpillar (I Can Read Level 1)","Dean, James:Dean, Kimberly:https://m.media-amazon.com/images/I/51RoPgwVLrL._SY300_.jpg"
"B08F4HC2L6","The Curie Society","Einhorn, Heather:Staffaroni, Adam:Harvey, Janet:https://m.media-amazon.com/images/I/516vo4IsMUL._SY300_.jpg"
"B086HNCGBM","Delivering Evil for Experts (The Guild Codex: Demonized Book 4)","Marie, Annette:https://m.media-amazon.com/images/I/51IAU8IcEeL._SY300_.jpg"
"B07YNKPPY8","Druid Vices and a Vodka (The Guild Codex: Spellbound Book 6)","Marie, Annette:https://m.media-amazon.com/images/I/51dLZp9RyKL._SY300_.jpg"
"B088DG9LCG","Fae Conqueror (Fae Hunter Series Book 5)","Wilson, Sarah K. L.:https://m.media-amazon.com/images/I/51acEvlBESL._SY300_.jpg"
"B07XLPZTFR","Fae Hunter (Fae Hunter Series Book 1)","Wilson, Sarah K. L.:https://m.media-amazon.com/images/I/5186jPs2LtL._SY300_.jpg"
"B007978NU6","The Hobbit: 75th Anniversary Edition","Tolkien, J.R.R.:Tolkien, J.R.R.:https://m.media-amazon.com/images/I/61Ng-W9EhBL._SY300_.jpg"
"B09B2WSCHG","A Time Classic: Fahrenheit 451 by R.Bradbury'sCollection","Bradbury'sCollection, R.:https://m.media-amazon.com/images/I/410jUgZg9qL._SY300_.jpg"
"B088RKJ5JB","Animal Farm","Orwell, George:https://m.media-amazon.com/images/I/41pQM3YUcYL._SY300_.jpg"
"B082TMFGFQ","Fae Captive (Fae Hunter Series Book 2)","Wilson, Sarah K. L.:https://m.media-amazon.com/images/I/512KM0j8SrL._SY300_.jpg"
"B084ZT5XCW","Fae Nightmare (Fae Hunter Series Book 3)","Wilson, Sarah K. L.:https://m.media-amazon.com/images/I/51jKDRPYLwL._SY300_.jpg"
"B0875PJNTX","Fae Pursuit (Fae Hunter Series Book 4)","Wilson, Sarah K. L.:https://m.media-amazon.com/images/I/51DBu4kVvHL._SY300_.jpg"
"B007NKMQGQ","Shadow and Bone (The Shadow and Bone Trilogy Book 1)","Bardugo, Leigh:https://m.media-amazon.com/images/I/51KISLCE4nL._SY300_.jpg"
"B01BBK30CW","Goldheart: A Retelling of Rumpelstiltskin (The Andari Chronicles Book 2)","Davidson, Kenley:https://m.media-amazon.com/images/I/51LNsHhFDhL._SY300_.jpg"
"B008FDJS5M","Tron Uprising: The Junior Novel (Disney Junior Novel (ebook))","Disney Book Group:https://m.media-amazon.com/images/I/51tFG86IJqL._SY300_.jpg"
